X0,,,3 mm pin,,,,,,,
channel,effective area,effective area err,rate spectrum at 10 arcmin,err,5 arcmin,err,2 arcmin,err,0 arcmin,err
0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
1,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
2,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
49,18.04625939,0.529516774,472.0666667,2.804955932,641.6166667,3.270108731,694.1833333,3.401429438,702.6666667,3.422150071
50,18.43664784,0.662322139,322.4666667,2.318284807,447.5,2.730994935,482.9,2.836958465,490.5166667,2.859244267
51,20.20455503,0.918717585,221.1166667,1.919707732,310.7166667,2.275656194,337.3,2.371005413,341.3166667,2.385080944
52,20.36800765,1.147977705,148.1,1.571093038,210.1166667,1.871348296,234.6166667,1.977442231,235.75,1.982212568
53,17.86151026,1.15830653,101.3666667,1.299786307,147.1166667,1.565868591,167.1833333,1.669248001,171.4,1.690167645
54,21.33125214,1.559296786,71.25,1.089724736,113,1.372345923,131.4666667,1.480240221,132.0166667,1.483333333
55,19.36027913,1.408465159,60.93333333,1.007747764,96.9,1.270826503,114.9,1.38383525,116.55,1.393735986
56,19.0721389,1.411213497,55.41666667,0.961046883,91.56666667,1.235358697,108.5666667,1.345155918,109.45,1.350617143
57,22.61081958,1.706503067,55.38333333,0.960757803,91.96666667,1.238054029,109.0666667,1.348249894,109.0333333,1.34804385
58,20.99307375,1.529825871,57.08333333,0.975391659,91.11666667,1.232319403,108.7,1.345981674,108.3,1.343502884
59,19.27636842,1.349039277,56.9,0.973824077,94.76666667,1.256759501,108.7666667,1.346394362,108.1,1.342261773
60,20.46221441,1.449875021,56.16666667,0.967528352,91.03333333,1.231755748,110.1333333,1.354826762,110.2166667,1.355339236
61,22.22487708,1.620686648,57.46666667,0.978661217,96.91666667,1.270935788,110.25,1.355544171,111.8333333,1.365243161
62,23.54431535,1.73881386,58.61666667,0.988405,94.61666667,1.255764486,112.9166667,1.371839803,111.25,1.361677887
63,20.321235,1.396429678,61.76666667,1.014615417,97.5,1.274754878,111.7166667,1.364530851,112.4833333,1.36920496
64,23.14807209,1.61289211,59.18333333,0.993171128,98,1.278019301,113.9333333,1.378001774,116.9166667,1.395926614
65,21.0520194,1.519557496,61.68333333,1.013930745,98.46666667,1.28105859,111.3,1.361983847,114.3,1.380217374
66,23.85662762,1.79399076,60.38333333,1.003189358,93.4,1.247664485,115.6333333,1.388244295,112.8666667,1.371536041
67,22.2260003,1.582684586,60.86666667,1.007196329,98.25,1.279648389,113.8833333,1.377699371,113.7166667,1.37669088
68,21.83820554,1.570404785,62.31666667,1.019122716,97.65,1.275735082,111.85,1.365344889,113.6833333,1.376489093
69,20.67291794,1.423717325,63.11666667,1.025643429,97.43333333,1.27431899,114,1.378404875,117.5,1.399404635
70,22.06216547,1.550744417,60.68333333,1.005678323,98.38333333,1.280516389,114.35,1.380519226,113.0166667,1.372447125
71,22.37254694,1.594426251,59.96666667,0.999722184,98.53333333,1.281492186,113.2,1.373559852,114.65,1.382328953
72,20.79595569,1.48526014,61.11666667,1.009262657,95.18333333,1.259519309,112.3833333,1.368596199,116.3333333,1.392439905
73,21.31260303,1.495517353,61.01666667,1.008436634,99.88333333,1.290241149,117.1166667,1.397120054,115.8833333,1.389744181
74,23.06646375,1.610811712,61.7,1.014067716,97.9,1.277367084,116.35,1.392539646,116.2166667,1.391741515
75,23.59032559,1.659495795,62.36666667,1.019531483,104.4,1.319090596,119.2833333,1.409984239,122.0833333,1.426436897
76,21.97597797,1.470875628,65.7,1.046422477,101.0166667,1.297540408,119.7166667,1.412543018,121.5166667,1.423122545
77,18.17482549,1.17029447,64.13333333,1.033870828,103.3833333,1.312652108,124.3166667,1.43942504,125.0333333,1.44356811
78,20.3175225,1.282894382,67.05,1.057118726,107.3333333,1.33749351,123.45,1.434398829,126.2666667,1.450670343
79,21.05573964,1.381973056,67.78333333,1.062883918,107.05,1.335727018,121.3,1.421853251,119.9166667,1.413722431
80,19.65916115,1.320165409,63.5,1.028753291,100.8666667,1.296576689,117.2333333,1.397815756,117.3833333,1.398709723
81,22.03249689,1.557100019,60.63333333,1.005263923,92.36666667,1.240743505,109.5333333,1.351131213,112.9333333,1.371941042
82,25.01536872,1.839171802,56.38333333,0.969392708,87.28333333,1.20611866,100.2833333,1.292822064,102.8833333,1.309474025
83,22.14653934,1.597963521,52.33333333,0.933928382,84.41666667,1.18614689,98.5,1.281275406,101.85,1.302881422
84,22.48380998,1.639848461,49.9,0.911957601,82.71666667,1.174142713,91.55,1.235246264,93.35,1.247330483
85,19.92942468,1.527257126,48.03333333,0.894737702,78.43333333,1.143338192,92.51666667,1.241750556,94.21666667,1.253107249
86,23.03766667,1.751755604,46.06666667,0.876229295,74.7,1.11579568,88.88333333,1.217123202,89.45,1.22099686
87,25.1660089,1.995560766,46.7,0.882232018,76.03333333,1.125709653,89.01666667,1.218035759,90.76666667,1.229950315
88,17.87731341,1.332357314,44.61666667,0.862328888,74.8,1.116542282,88,1.211060142,85.9,1.19652274
89,20.61335407,1.546737271,42.98333333,0.846397595,70.68333333,1.085382677,82.93333333,1.175679473,84.63333333,1.187668117
90,19.68408228,1.552350338,42.73333333,0.843932593,67.85,1.063406476,81.3,1.164044673,83.8,1.181806527
91,22.32022209,1.744999849,39.13333333,0.807602763,67.8,1.063014581,79.65,1.152171862,79.08333333,1.148066007
92,17.57722197,1.330932335,39.41666667,0.810521094,67.51666667,1.060791109,77.11666667,1.133700921,77.65,1.137614463
93,18.62130725,1.478834751,37.61666667,0.791798235,62.85,1.023474475,75.16666667,1.119275559,75.28333333,1.12014384
94,19.47183652,1.48886462,37.98333333,0.795647884,62.33333333,1.01925899,72.05,1.095825412,75.85,1.124351665
95,19.08814669,1.503405329,35.03333333,0.764126226,60.55,1.004572878,70.48333333,1.083846033,72.26666667,1.097471842
96,16.22810889,1.270380795,31.9,0.729154762,55.51666667,0.961913602,67.21666667,1.058431754,71.43333333,1.09112582
97,17.71964395,1.419128888,33.23333333,0.744237119,57.58333333,0.979654134,64.85,1.039631345,66.8,1.055146119
98,17.50964154,1.438851977,30.75,0.715891053,53.36666667,0.943103623,64.41666667,1.036152069,64.5,1.036822068
99,18.74690125,1.561041431,29,0.695221787,52.56666667,0.936008072,62.78333333,1.022931517,63.73333333,1.030641656
100,17.65430603,1.528156807,28.2,0.68556546,50.43333333,0.916818169,60.96666667,1.008023368,61.25,1.010362971
101,16.01218434,1.331164593,26.88333333,0.669369521,46.9,0.884119147,58.51666667,0.987561531,58.68333333,0.988966913
102,17.86219941,1.611650503,25.41666667,0.65085414,45.25,0.868427698,56.21666667,0.967958906,56.91666667,0.973966689
103,15.6259125,1.375871991,22.78333333,0.616216052,44.21666667,0.858454684,54.2,0.950438495,53.9,0.947804481
104,12.85700211,1.168284252,21.5,0.5986095,41.65,0.83316665,52.4,0.934523051,53.45,0.943839676
105,14.230995,1.301320291,19.96666667,0.576868943,38.58333333,0.801907448,47.88333333,0.893339552,49.26666667,0.906151815
106,16.46515588,1.666128268,19.1,0.564210363,36.6,0.781024968,43.78333333,0.854237802,46.3,0.878445597
107,14.18861263,1.405189247,16.83333333,0.529674953,33.13333333,0.74311656,41.23333333,0.828988674,42.45,0.841130192
108,13.14965763,1.314790257,14.65,0.494132236,29.15,0.697017456,38.28333333,0.798783798,38.63333333,0.802426874
109,9.449111752,1.063129424,13.01666667,0.465772954,26.2,0.660807587,34.88333333,0.762488616,34.7,0.760482303
110,9.270445673,1.051362928,11.36666667,0.435252162,24.7,0.641612552,29.65,0.70296989,31.68333333,0.726674312
111,11.03239611,1.232029838,10.61666667,0.420647649,20.53333333,0.584997626,28.81666667,0.693020763,29.11666667,0.696618818
