,energy,-9 arc min,-9 arc min err,-7 arc min,-7 arc min err,-5 arc min ,-5 arc min  err,-3 arc min,-3 arc min err,-1 arc min,-1 arc min err,on-axis,on-axis err,+1 arc min,+1 arc min err,+3 arc min,+3 arc min err,+5 arc min,+5 arc min err,+7 arc min ,+7 arc min  err,+9 arc min ,+9 arc min  err
92,9.5089,6.402095656649445,0.4692783320163618,8.276213402292552,0.5786924965645879,10.519682820434666,0.7085485545242433,12.872589771169077,0.8440086241025421,12.886269462743115,0.8447946839467259,14.486793376905476,0.9366732008444019,14.596230909497775,0.9429496262835392,12.66739439755852,0.8322159559561428,11.203667399136531,0.7479861678986564,8.344611860162738,0.5826660839700009,6.415775348223483,0.47008163637985556
93,9.6162,7.276903274776488,0.5943225449634473,8.61456931793393,0.6832066419214743,12.55622525843786,0.942960297344738,14.21493115195309,1.0517237863376634,14.71432647473187,1.0844299383349603,15.499090553384235,1.1357943864453663,15.178050703026448,1.1147859689531003,13.9473979433216,1.0341957166624007,12.502718616711563,0.9394478878920478,9.488511132796793,0.7410222566437016,6.848850140966106,0.5657488482047445
94,9.7235,7.2518680570880365,0.6179405559487264,9.055140060588537,0.7427690016595555,11.49828277500857,0.9107261746952322,13.243384713880026,1.03020295704389,15.240556932810687,1.1666166602376102,15.046656717380525,1.1533844651162264,14.678246308063219,1.1282368812449026,14.096545661772735,1.088511832860318,11.6534029473527,0.9213597408494173,8.764289737443296,0.722697684990747,6.185416872222149,0.5435412754911861
95,9.8308,5.880261022071838,0.5139540759818964,6.443864314922173,0.552818077001464,9.881844401309223,0.7871796324764068,12.11747079628222,0.9382109376947662,13.244677381982893,1.0141379641887511,13.338611264124616,1.0204600045170613,12.793794747702623,0.9837815258938728,11.87324270271374,0.921743233487505,9.37460143774392,0.7528016528278882,7.5710709006228445,0.6300766029520748,5.636032928503358,0.4970513836596988
96,9.9381,6.103411268915832,0.554585757442413,7.526165922818509,0.6568827445672193,9.3200739646958,0.7847944006918264,11.42327649655193,0.9338556784646812,12.907890048450374,1.0387036843968347,13.650196824399597,1.0910446827093254,13.299663069090242,1.0663341397285246,12.660454456467301,1.02124543931067,10.536632291945912,0.8711058992225905,8.000417474119402,0.6907918468195264,5.587920452284428,0.5172400147417433
97,10.0454,4.54827857330221,0.3995623797892546,5.495132105290774,0.4622749656795985,7.642460651050553,0.6023689059569397,9.53616771502768,0.7245636235124041,10.297032160375636,0.7734460047168426,11.007172309367057,0.8189882329730366,10.956448013010528,0.8157375298400197,9.485443418671151,0.7213011588390147,7.591736354694023,0.5990823580739515,5.579672599218324,0.46783826345892043,4.362289486661599,0.38713860545445417
98,10.1527,4.872530930799702,0.46734690994615996,6.933986324599575,0.6174406805761558,8.41240382924393,0.7237286353173336,11.973099509443712,0.9774947851942725,12.306264017532579,1.0011397839228302,12.764365216154774,1.0336322353234517,12.118858981732592,0.9878410036073542,11.806517255399276,0.9656675113398224,9.266137881221654,0.7847986309379241,7.163036923910672,0.6339625633915468,4.76841702202193,0.45967442649928764
99,10.26,5.13281570274413,0.46311414714385374,6.623596734055844,0.5664352057144264,8.076636473435617,0.6660524652252384,9.133392647529996,0.7380776718731947,10.378855281284086,0.8226490164183528,11.624317915038176,0.9069696548891129,10.378855281284086,0.8226490164183528,9.718382672475098,0.777836988677989,7.79357678394605,0.6467069075120027,5.981994771212827,0.5221448770727173,3.9439650068879524,0.3792973853373544
100,10.3673,4.966754018243584,0.4778244310083291,6.699834143758367,0.6050129830886705,8.179292787490498,0.7123022641937863,10.546426617461908,0.8826299342534608,11.941344767266491,0.9825275418274969,11.708858408965726,0.9658959542887968,12.047020384675928,0.9900852307568928,10.377345629606808,0.8705015754595532,8.961292356320339,0.7687143968896072,6.171456056711177,0.566452853396661,4.501781301642057,0.4432559961666935
101,10.4746,4.0156734615586425,0.4068168153141076,6.446212661975716,0.5865234769542004,8.771076244983352,0.7550077297507161,9.785562172113956,0.8280128018145942,12.406317483868017,1.0157719328322168,11.49750717414685,0.9507705243418486,11.455236927183076,0.9477447505841363,10.419615876570584,0.8735341111036046,8.221563034454274,0.7153560257625837,6.065780439301739,0.5587212903476461,4.3115651903050685,0.42903780095529775
