# Module X0 tilt
# row 0 are off axis angle in arcmin
# row 1+ are effective area in cm2
-9.000000000000000000e+00,-7.000000000000000000e+00,-5.000000000000000000e+00,-3.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00
1.258063335951906403e+01,1.567980482692531474e+01,1.955148542863975081e+01,2.193280548925499573e+01,2.433494331806606681e+01,2.444638188888308150e+01,2.402343726892776488e+01,2.233850381179797395e+01,1.918208474144999087e+01,1.590126444293612629e+01,1.233902875655466147e+01
1.193335267186977511e+01,1.520259297773369056e+01,1.890768352355013349e+01,2.118150889470880571e+01,2.349834715089029302e+01,2.364912777555185741e+01,2.360602278634254603e+01,2.143565115310248004e+01,1.857849724246830903e+01,1.532785788897450274e+01,1.188373315190313306e+01
1.181601439737225157e+01,1.511387967052064951e+01,1.869961157293699827e+01,2.163290741354986935e+01,2.355940521213526040e+01,2.389891597480115948e+01,2.365109765708119838e+01,2.153329797615499785e+01,1.857065430813310414e+01,1.529265659296043367e+01,1.173922861351515401e+01
1.140317326031506262e+01,1.485942670458572579e+01,1.808250430074603798e+01,2.121194707216063335e+01,2.310525640209160869e+01,2.348432970130428643e+01,2.312825880579387317e+01,2.091692256465911015e+01,1.834628036552568631e+01,1.488619928251141467e+01,1.150215715845812525e+01
1.132424977707572111e+01,1.476814122697047083e+01,1.817091688040029496e+01,2.099339461673691432e+01,2.324246989075702530e+01,2.360565685721937257e+01,2.330439375360024101e+01,2.115364758979631077e+01,1.824971467398524538e+01,1.486527432490484202e+01,1.124265517497867961e+01
1.067992416731481065e+01,1.421596474469421700e+01,1.792393004590206118e+01,2.156498423376271489e+01,2.343273549430382019e+01,2.407365265486625105e+01,2.351549937193957263e+01,2.111564756446684754e+01,1.818361917922265647e+01,1.391102386345782627e+01,1.070358640155788166e+01
6.420940168758324518e+00,8.858841627314308909e+00,1.187096403340711248e+01,1.493083838694592735e+01,1.720585450424160001e+01,1.750927704290958786e+01,1.738904746314953798e+01,1.486230144189246261e+01,1.208559934038641437e+01,9.156392552798692464e+00,6.403029244518897656e+00
2.374792501658062438e+00,3.340591502302190818e+00,4.701463896772883899e+00,6.318722252813965490e+00,7.764630569121738546e+00,8.048611481288524772e+00,7.705356387880312852e+00,6.450429346894445359e+00,4.649592756701333762e+00,3.242348934585834286e+00,2.373033570496982048e+00
1.422481215250657849e+00,1.902154899013997147e+00,2.928476885159190690e+00,4.140682210866480695e+00,5.115774560588493003e+00,5.407561088589946330e+00,5.202574289538625329e+00,4.370122661753382154e+00,2.990924279768297112e+00,1.980334835101281943e+00,1.470583999795555652e+00
7.224788544536520085e-01,1.056520507654633567e+00,1.459625752107163166e+00,2.544646740998897538e+00,3.611571687322809421e+00,3.720234883765833889e+00,3.531794206336126507e+00,2.400086809361635432e+00,1.677644318037792459e+00,1.086738747885545253e+00,7.514449731734629268e-01
4.888784758586679491e-01,5.868869488068760853e-01,6.217536161696003427e-01,1.563074738664322005e+00,1.715970762258333782e+00,2.285385050081258029e+00,2.273232254360310733e+00,1.552414645037779373e+00,6.654849417566036651e-01,5.726789104434514277e-01,3.664562302909994407e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
