channel,energy,-9 arc min,-9 arc min err,-7 arc min,-7 arc min err,-5 arc min ,-5 arc min  err,-3 arc min,-3 arc min err,-1 arc min,-1 arc min err,on-axis,on-axis err,+1 arc min,+1 arc min err,+3 arc min,+3 arc min err,+5 arc min,+5 arc min err,+7 arc min ,+7 arc min  err,+9 arc min ,+9 arc min  err
25.0,2.2125000000000004,1.8410039230622774,3.389295444730696,2.516950966291695,6.335042166716698,2.9018701564068436,8.420850404644678,3.2142068985341856,10.331125986584748,3.3462661066097152,11.197496856244943,3.6582499447349184,13.382792658153033,3.4902837533763136,12.182080679082647,3.7781940299989363,14.274750128319603,2.1070435549871145,4.439632542612737,2.1070435549871145,4.439632542612737,1.8652246404539143,3.479062959356434
26.0,2.3198,1.4648893655781494,2.145900853383953,1.877137906890254,3.523646721484324,2.121761303335944,4.501871028333844,2.548848745753301,6.496629928728175,2.6184903516264133,6.856491721560618,2.818607607743737,7.944548846430873,2.5314351472350354,6.408163904656865,2.287491066956158,5.232615381404223,1.807137451870889,3.2657457699544095,1.807137451870889,3.2657457699544095,1.526468181322513,2.33010510859006
27.0,2.4271000000000003,1.9766928317623216,3.9073145511405456,2.6517780989288195,7.031927085958544,3.3902928797523146,11.494085810499243,3.456151436268556,11.944982750421204,4.074803267094406,16.60402166552325,4.180044583037609,17.472772716182057,3.943229704767502,15.5490605045608,3.4693219404975424,12.036194726817634,2.664984633722477,7.102143097976926,2.664984633722477,7.102143097976926,2.2815833057782307,5.205622381205919
28.0,2.5344000000000007,2.0034921866948947,4.013980942147491,2.202740982390938,4.852067835504594,2.93884227085594,8.636793892969699,3.3701557379611957,11.357949698112773,3.812681168658638,14.536537693844199,3.9058011646412942,15.25528273771329,3.8010402312372373,14.44790683948403,3.311898906236828,10.968674365132697,2.097302211253256,4.398676565327798,2.097302211253256,4.398676565327798,1.7332109606023511,3.004020233952125
29.0,2.6417,1.3952239601330185,1.9466498989292629,1.7552494503932476,3.0809006331057978,2.296507994732921,5.2739489698722215,2.313127930235767,5.350560821636803,2.3962051835591467,5.741799281715724,2.6286477932719094,6.90978922107328,2.5788579916811845,6.650508541257912,2.2632633754369498,5.122361106594256,1.6048133833828377,2.5754259954846708,1.6048133833828377,2.5754259954846708,1.361599164473354,1.8539522846945358
30.0,2.7490000000000006,1.4813141387265136,2.194291577591073,1.661229388125261,2.7596830799710292,2.1579550529404634,4.656770010511278,2.669142803198645,7.124323303867119,2.5799738413693345,6.65626502215004,2.9202924126084855,8.52810777513869,2.76638564501266,7.6528895369321095,2.4988838666701922,6.244420579104571,1.6938854788710023,2.8692480155300446,1.6938854788710023,2.8692480155300446,1.5631635350926107,2.443480237443228
31.0,2.8563,2.050408153559874,4.204173596184813,2.5185645648602004,6.343167467369451,3.230325599086407,10.435003476112954,3.4982941791321776,12.238062163750076,4.010546048378571,16.084479606164972,3.9639946667080483,15.71325371768985,3.9058011646412942,15.25528273771329,3.3701557379611957,11.357949698112773,2.4250538493582425,5.88088617228723,2.4250538493582425,5.88088617228723,2.0034921866948947,4.013980942147491
32.0,2.9636000000000005,1.7043281443670537,2.904734423681645,2.000244103111841,4.000976472033694,2.5542588328560525,6.5242381852231635,2.893075521148223,8.369885971067061,3.3116678017163563,10.967143628924845,2.9999922613248087,8.999953568008738,3.0712527878779614,9.43259368704815,2.7415504226876526,7.516098720138847,2.0091969483121437,4.036872377106831,2.0091969483121437,4.036872377106831,1.7492315544617905,3.059811031124812
33.0,3.0709,1.754604945910752,3.078638516214473,1.9456750579876783,3.785651431275355,2.628126483974959,6.907048815770581,2.9210987749829824,8.53281805320708,2.9210987749829824,8.53281805320708,3.023976100826247,9.144431458368313,3.2691996170469757,10.687666136100093,2.8736074867955717,8.257619988167562,1.9058994909950684,3.632452869775261,1.9058994909950684,3.632452869775261,1.5630808826534597,2.4432218457167187
34.0,3.1782000000000004,1.353684497567803,1.8324617189553953,1.4771606816728913,2.182003679480321,1.9104035403559672,3.6496416870046136,1.9584347460065064,3.835466654365569,2.1290922095828435,4.533033636906355,2.2995938591360594,5.288131916976274,2.3049199023406914,5.312655756206222,2.0544510302436283,4.220769035669106,1.5629115046634028,2.4426923714092217,1.5629115046634028,2.4426923714092217,1.2137198363004797,1.4731158410292633
