# Module X0 pan
# row 0 are off axis angle in arcmin
# row 1+ are effective area in cm2
-9.00000000000000E+00,-7.00000000000000E+00,-5.00000000000000E+00,-3.00000000000000E+00,-1.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,3.00000000000000E+00,5.00000000000000E+00,7.00000000000000E+00,9.00000000000000E+00
1.22613087934388E+01,1.59050467769198E+01,1.91372435974479E+01,2.17561790658055E+01,2.37333333333333E+01,2.46537240828389E+01,2.48651051704486E+01,2.26650722177365E+01,1.97618219592541E+01,1.61076026492021E+01,1.24914201461934E+01
1.18315060853880E+01,1.49454805949507E+01,1.80422325916239E+01,2.11668743192408E+01,2.31333333333333E+01,2.40722481388132E+01,2.38633406233705E+01,2.21067454613543E+01,1.93898678046170E+01,1.59224703376306E+01,1.24305016147743E+01
1.18434775848242E+01,1.51745370977009E+01,1.83774005954973E+01,2.11951764121297E+01,2.31333333333333E+01,2.40772302429062E+01,2.35305331011299E+01,2.16952972767605E+01,1.89733607337176E+01,1.57174059866063E+01,1.25132874968098E+01
1.15182181911194E+01,1.46062792401368E+01,1.78865870512150E+01,2.07176038608066E+01,2.26333333333333E+01,2.35845129753587E+01,2.33643534040226E+01,2.15849894754960E+01,1.87138014257469E+01,1.54350493651786E+01,1.18824301175560E+01
1.13037727359276E+01,1.45350374319169E+01,1.79010153949273E+01,2.09475116005835E+01,2.25666666666666E+01,2.34308462094722E+01,2.35562304562920E+01,2.15780622168267E+01,1.85261495950093E+01,1.53229559637955E+01,1.18290506146066E+01
1.05721778764144E+01,1.40660066666040E+01,1.73813346262776E+01,2.11008551542891E+01,2.29666666666666E+01,2.39026995211387E+01,2.38285052403336E+01,2.16102293743181E+01,1.84990302240952E+01,1.48914215857338E+01,1.10452574444251E+01
6.36517775675587E+00,8.68547205925192E+00,1.18000163887221E+01,1.48314040905903E+01,1.66000000000000E+01,1.75380371941384E+01,1.77982555536830E+01,1.54580521563531E+01,1.23432467203117E+01,9.21395594117574E+00,6.69612643469983E+00
2.37109172578802E+00,3.32989844515105E+00,4.48570194122218E+00,6.29851624231050E+00,7.27333333333333E+00,7.75954516183155E+00,7.88077114536438E+00,6.67461966651698E+00,4.89206981519176E+00,3.55090455603325E+00,2.44837889590937E+00
1.36253344551561E+00,1.88029142440891E+00,2.78534279852326E+00,4.01586970652914E+00,4.78666666666666E+00,5.16519846705367E+00,4.91393728945480E+00,4.41394429747048E+00,2.85829340031092E+00,2.07874936594905E+00,1.43536096875117E+00
7.79864777667808E-01,1.17991284185236E+00,1.54527621176108E+00,2.35358132998433E+00,3.23000000000000E+00,3.67417702736262E+00,3.66133377003432E+00,2.67605165628591E+00,1.56781605210062E+00,1.17746280757945E+00,6.79951353268526E-01
3.07006479587695E-01,6.34358566125656E-01,6.28258294222214E-01,1.40532864482989E+00,2.15000000000000E+00,2.51688461412748E+00,2.17364522565014E+00,1.55374730749049E+00,9.28976607655505E-01,3.93934262242173E-01,5.61701728529491E-01
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
