,energy,-9 arc min,-9 arc min err,-7 arc min,-7 arc min err,-5 arc min ,-5 arc min  err,-3 arc min,-3 arc min err,-1 arc min,-1 arc min err,on-axis,on-axis err,+1 arc min,+1 arc min err,+3 arc min,+3 arc min err,+5 arc min,+5 arc min err,+7 arc min ,+7 arc min  err,+9 arc min ,+9 arc min  err
121,12.6206,0.9510805566849417,0.2025832180170219,1.2328822031101097,0.23684421826410842,2.219187965598197,0.3452699132942133,3.170268522283139,0.442072824328926,3.909997844149205,0.5149088964018537,3.804322226739767,0.5045941571391238,3.628196197724037,0.48734213324471953,3.346394551298869,0.45956182849469274,1.7964854959604455,0.3002935882224964,1.1272065857006717,0.22426406983961059,0.8806301450786498,0.1936051571292118
122,12.7279,0.5852803425753488,0.14719290173561128,0.9754672376255813,0.19757881456875678,1.8533877514886046,0.2944272399980618,2.536214817826511,0.3632442309609551,3.0564640112268213,0.41381639472829035,3.2190418841644184,0.4293931334322665,3.186526309576899,0.4262851639261793,2.406152519476434,0.3503891909781362,2.048481199013721,0.3144623719817282,1.2681074089132556,0.23152367773373925,1.1055295359756587,0.21295171366837065
123,12.8352,0.6503114917503875,0.14259022722179857,0.758696740375452,0.15571692352578925,1.5986824172197025,0.24433918640949503,1.5715861050634363,0.2416956149445658,2.818016464251679,0.3567395263046997,2.7367275277828806,0.34952249852861556,2.3031865332826227,0.3105030509330703,1.8696455387823638,0.2703109831404768,1.110948798406912,0.19497230638258747,0.8670819890005166,0.16826810408443227,0.5148299309690567,0.12509608334022693
124,12.9425,0.5830378891555199,0.13907201648600492,0.6704935725288478,0.1504878164536763,1.2243795672265918,0.2145498574489646,2.3321515566220796,0.3248022539903063,2.0697845065020957,0.29980497256716787,2.419607239995407,0.3330345198513794,2.3613034510798556,0.32755143835516204,1.8365693508398875,0.27713075443831475,1.1369238838532636,0.20508032492971406,0.7871011503599518,0.16497908377389334,0.5247341002399679,0.13113325354059088
125,13.0498,0.8806301450786498,0.1936051571292118,0.9158553508817957,0.19811895017526013,1.1976569973069637,0.2326819715943526,2.1487375539919054,0.33788360647187277,2.818016464251679,0.40674564105412614,2.7123408468422414,0.39604213384904474,2.3600887888107813,0.35993254792874296,2.0078367307793212,0.32298843870904376,1.3737830263226936,0.253217537951439,0.9158553508817957,0.19811895017526013,0.6692789102597738,0.16525214930904852
126,13.1571,0.5454225414680669,0.14488594795640386,1.0908450829361338,0.21629154645574436,1.670356533245955,0.28185344604587065,2.045334530505251,0.3216523984666165,2.3180458012392844,0.3497899506318473,2.7271127073403343,0.39107705372955304,2.3862236189227928,0.3567402747252631,1.7726232597712175,0.292860138334095,1.2272007183031506,0.23233439031892428,1.0567561740943796,0.21220174624241495,0.5795114503098211,0.1498774427639549
127,13.2644,0.6854634642774354,0.17417323758864903,1.0281951964161533,0.22063364624368692,1.2186017142709962,0.24450814167427276,1.865983874977463,0.32004301152729175,2.3229595178290867,0.370236692883013,2.094471696403275,0.3453708709501335,2.970341678535554,0.4388625481948305,1.9040651785484317,0.3243009771189975,1.4090082321258395,0.26747428592066674,0.7616260714193728,0.18501245358522514,0.4569756428516236,0.13886522295151338
128,13.3717,0.44888757837637366,0.13628961022719865,1.084811647742903,0.22581890185208287,1.0099970513468408,0.21635304896585572,1.9451795062976194,0.3259573391345001,2.2818451900799,0.362540610398641,2.2070305936838372,0.3544927432463536,1.6833284189114013,0.29672348447145097,1.6459211207133702,0.2924780539555415,1.084811647742903,0.22581890185208287,0.7107386657625917,0.17623042397677613,0.5611094729704671,0.1541940921550778
129,13.479000000000001,0.4972970231032375,0.13143414609381351,0.621621278879047,0.14886881097845084,0.8702697904306657,0.180603998978549,0.994594046206475,0.19541417013415868,1.4918910693097125,0.25047013672179763,1.4297289414218077,0.24386025998592487,1.4918910693097125,0.25047013672179763,1.0567561740943796,0.2026237468196714,1.1499993659262369,0.21323099636412396,0.40405383127138045,0.11729816902234168,0.18648638366371406,0.07779402104353664
130,13.5863,0.21756744760766641,0.08432249753981745,0.621621278879047,0.14886881097845084,0.8702697904306657,0.180603998978549,1.2743236217020462,0.22704136240386472,1.5851342611415695,0.2602749153859239,2.082431284244807,0.3108220660912226,1.5540531971976173,0.25702057859587174,0.9635129822625227,0.19176330459043656,1.087837238038332,0.20618568029687548,0.7459455346548562,0.16515511732312643,0.4972970231032375,0.13143414609381351
131,13.6936,0.5367650408098437,0.14245678243813492,0.4696694107086132,0.13231436692540652,1.1406257117209178,0.22043391672541587,0.7715997461641503,0.1749588920206793,1.5431994923283006,0.265841088685669,1.8451298277838375,0.2981944799431955,1.8451298277838375,0.2981944799431955,1.0064344515184567,0.20445695761290417,0.7380519311135351,0.17053800007219103,0.30193033545553705,0.10417586290927491,0.30193033545553705,0.10417586290927491
132,13.8009,0.28451127764079454,0.11109519757372836,0.5690225552815891,0.16199059393367174,0.9348227693911819,0.21540240836640076,1.4632008564383718,0.2829437104628036,1.7883566023135655,0.32161920360030993,1.8696455387823638,0.3310619902821173,1.5038453246727712,0.28786919584756093,1.2193340470319765,0.2526956714833822,0.8941783011567828,0.20983667174674775,0.7316004282191859,0.18676734458980904,0.6909559599847866,0.18075982911894412
133,13.9082,0.4528955031833055,0.12304223472444083,0.4227024696377519,0.11848601955554565,0.5434746038199666,0.1360841445891437,0.8755979728210573,0.17864262139856302,1.026563140548826,0.1962713069238639,1.5096516772776851,0.24871646377649514,1.026563140548826,0.1962713069238639,0.6642467380021816,0.15233916799998726,0.36231640254664443,0.10898209410664232,0.30193033545553705,0.09882990120202913,0.21135123481887594,0.08185598126538797
134,14.0155,0.5495132105290774,0.1620114403503062,0.46497271660152706,0.14770412260327076,0.8031346923117286,0.20099491319219734,1.0567561740943796,0.2362978640917635,1.6485396315872323,0.3112250094801203,1.3949181498045813,0.28003839224833865,1.9021611133698835,0.3414483695073094,1.4371883967683563,0.2853163390745902,0.9299454332030541,0.21899088613839654,0.8454049392755038,0.20708107272535822,0.38043222267397664,0.13239430035274755
135,14.1228,0.4265804739463551,0.1349528323688194,0.4653605170323874,0.141539724674041,0.698040775548581,0.17759598830214834,1.0470611633228717,0.225084907031995,1.0082811202368394,0.22006379420269043,1.2409613787530331,0.24950518993694606,1.35730150801113,0.2637001073022501,0.5041405601184197,0.14792672071375546,0.814380904806678,0.19407802400987217,0.6204806893765166,0.16611545348161938,0.1939002154301614,0.08868138478474584
136,14.2301,0.38427497239795627,0.1210152320491615,0.5589454143970273,0.1486883714088643,0.45414314919758464,0.13255032748593149,1.013088563594612,0.2094601249181555,1.1178908287940545,0.22221707885409805,1.2576271823933114,0.23875793074460194,1.013088563594612,0.2094601249181555,0.8034840331957267,0.18276872987566053,0.5589454143970273,0.1486883714088643,0.5589454143970273,0.1486883714088643,0.38427497239795627,0.1210152320491615
137,14.3374,0.14575947228887998,0.07412563384958878,0.2550790765055399,0.09927716735748417,0.5830378891555199,0.1554872413153392,0.8745568337332797,0.1961179929410433,1.3118352505999196,0.2502769453367162,1.2025156463832598,0.2372454573315869,1.1296359102388198,0.22839538049021774,0.47371828493885987,0.13855248921492366,0.7652372295166198,0.1814753874542214,0.5101581530110798,0.14433893460328892,0.47371828493885987,0.13855248921492366
138,14.444700000000001,0.24657644062202194,0.09587685874443223,0.2818016464251679,0.10289941232610636,0.35225205803145987,0.11594034604902739,0.6340537044566278,0.1602650088578027,0.6692789102597738,0.16525214930904852,0.8101797334723577,0.18441440974115772,1.0215309682912337,0.21137569535189216,0.6692789102597738,0.16525214930904852,0.3874772638346059,0.12206605430061285,0.4227024696377519,0.12797952818766237,0.21135123481887594,0.08841456486578518
139,14.552,0.3170268522283139,0.1095668121443754,0.4931528812440439,0.13927697741035083,0.45792767544089785,0.13370892980582014,0.9158553508817957,0.19811895017526013,1.0567561740943796,0.21570945075558143,0.4931528812440439,0.13927697741035083,1.0919813798975258,0.2200048407583749,0.5988284986534819,0.15518425670533623,0.5988284986534819,0.15518425670533623,0.4931528812440439,0.13927697741035083,0.17612602901572993,0.08039016587977059
140,14.6593,0.3652984305511436,0.14391220020737613,0.4696694107086132,0.16502500946092166,0.7305968611022872,0.21146236125491327,0.9393388214172264,0.24477164509940688,1.252451761889635,0.2910767567597865,1.1480807817321654,0.2760178760359019,1.30463725196837,0.2984902803204445,1.252451761889635,0.2910767567597865,0.4696694107086132,0.16502500946092166,0.260927450393674,0.12023792827914997,0.1043709801574696,0.0747070006974393
141,14.7666,0.3181631491897057,0.12469796967436148,0.40906690610105023,0.14280114936689073,0.36361502764537795,0.13397261757460335,0.9999413260247894,0.23706673747370074,1.0453932044804615,0.24344635417844102,0.7272300552907559,0.1968265148723018,0.8635856906577727,0.21741833931009652,0.5908744199237391,0.17495846959113792,0.40906690610105023,0.14280114936689073,0.36361502764537795,0.13397261757460335,0.27271127073403345,0.11486919693223328
142,14.8739,0.18180751382268898,0.09283809603415043,0.40906690610105023,0.14280114936689073,0.6363262983794113,0.1824174032035953,0.4999706630123947,0.15941286775987298,1.0453932044804615,0.24344635417844102,0.9544894475691171,0.2306069731207304,0.9544894475691171,0.2306069731207304,0.8181338122021005,0.21067262387252522,0.4545187845567224,0.15126169919398072,0.40906690610105023,0.14280114936689073,0.4545187845567224,0.15126169919398072
